STATION,NAME,LATITUDE,LONGITUDE,year,HTDD,state
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2010,3499,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2012,,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2013,3343,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2014,3479,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2015,,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2016,,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2017,2868,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2018,,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2019,,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2020,2976,NC
USC00310090,"ALBEMARLE, NC US",35.399929,-80.19944,2021,3269,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2010,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2011,3539,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2012,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2013,3533,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2014,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2015,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2016,2850,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2017,2706,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2018,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2019,,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2020,2957,NC
USC00310212,"APEX, NC US",35.74263,-78.836967,2021,3171,NC
USC00310241,"ARCOLA, NC US",36.2911,-77.982201,2010,3505,NC
USC00310241,"ARCOLA, NC US",36.2911,-77.982201,2011,3396,NC
USC00310241,"ARCOLA, NC US",36.2911,-77.982201,2012,,NC
USC00310241,"ARCOLA, NC US",36.2911,-77.982201,2015,,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2010,3653,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2011,3577,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2012,2733,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2013,3469,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2014,,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2015,3796,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2016,2994,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2017,2862,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2018,3834,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2019,,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2020,3156,NC
USC00310286,"ASHEBORO 2 W, NC US",35.708382,-79.838112,2021,3467,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2010,2545,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2011,2670,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2013,2516,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2014,,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2015,2838,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2016,2005,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2017,2071,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2018,2662,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2019,,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2020,1974,NC
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.699699,-76.738098,2021,2167,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2010,2871,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2011,2927,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2012,2090,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2014,,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2015,,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2016,,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2018,,NC
USC00310375,"GAYLORD BAY, NC US",35.426289,-76.70726,2019,,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2010,6263,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2011,5848,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2012,,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2013,,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2014,6203,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2015,6007,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2016,5346,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2017,4982,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2018,5596,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2019,5230,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2020,5326,NC
USC00310506,"BANNER ELK, NC US",36.161598,-81.8741,2021,5461,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2010,2581,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2011,2918,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2012,2300,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2013,2787,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2014,,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2015,2805,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2016,2185,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2017,2340,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2018,2749,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2019,2403,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2020,2249,NC
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816002,2021,2534,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2010,7402,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2011,7005,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2012,6202,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2013,7368,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2014,7249,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2015,7087,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2016,6389,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2017,5940,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2018,6767,NC
USC00310645,"BEECH MOUNTAIN, NC US",36.187382,-81.874092,2019,6442,NC
