STATION,HTDD,year
USC00310090,3499,2010
USC00310090,,2012
USC00310090,3343,2013
USC00310090,3479,2014
USC00310090,,2015
USC00310090,,2016
USC00310090,2868,2017
USC00310090,,2018
USC00310090,,2019
USC00310090,2976,2020
USC00310090,3269,2021
USC00310212,,2010
USC00310212,3539,2011
USC00310212,,2012
USC00310212,3533,2013
USC00310212,,2014
USC00310212,,2015
USC00310212,2850,2016
USC00310212,2706,2017
USC00310212,,2018
USC00310212,,2019
USC00310212,2957,2020
USC00310212,3171,2021
USC00310241,3505,2010
USC00310241,3396,2011
USC00310241,,2012
USC00310241,,2015
USC00310286,3653,2010
USC00310286,3577,2011
USC00310286,2733,2012
USC00310286,3469,2013
USC00310286,,2014
USC00310286,3796,2015
USC00310286,2994,2016
USC00310286,2862,2017
USC00310286,3834,2018
USC00310286,,2019
USC00310286,3156,2020
USC00310286,3467,2021
USC00310356,2545,2010
USC00310356,2670,2011
USC00310356,2516,2013
USC00310356,,2014
USC00310356,2838,2015
USC00310356,2005,2016
USC00310356,2071,2017
USC00310356,2662,2018
USC00310356,,2019
USC00310356,1974,2020
USC00310356,2167,2021
USC00310375,2871,2010
USC00310375,2927,2011
USC00310375,2090,2012
USC00310375,,2014
USC00310375,,2015
USC00310375,,2016
USC00310375,,2018
USC00310375,,2019
USC00310506,6263,2010
USC00310506,5848,2011
USC00310506,,2012
USC00310506,,2013
USC00310506,6203,2014
USC00310506,6007,2015
USC00310506,5346,2016
USC00310506,4982,2017
USC00310506,5596,2018
USC00310506,5230,2019
USC00310506,5326,2020
USC00310506,5461,2021
USC00310576,2581,2010
USC00310576,2918,2011
USC00310576,2300,2012
USC00310576,2787,2013
USC00310576,,2014
USC00310576,2805,2015
USC00310576,2185,2016
USC00310576,2340,2017
USC00310576,2749,2018
USC00310576,2403,2019
USC00310576,2249,2020
USC00310576,2534,2021
USC00310645,7402,2010
USC00310645,7005,2011
USC00310645,6202,2012
USC00310645,7368,2013
USC00310645,7249,2014
USC00310645,7087,2015
USC00310645,6389,2016
USC00310645,5940,2017
USC00310645,6767,2018
USC00310645,6442,2019
USC00310645,6483,2020
USC00310645,6599,2021
USC00310724,4901,2010
USC00310724,4790,2011
USC00310724,3932,2012
USC00310724,4694,2013
USC00310724,4927,2014
USC00310724,,2015
USC00310724,,2016
USC00310724,3796,2017
USC00310724,4531,2018
USC00310724,,2019
USC00310724,4170,2020
USC00310724,4374,2021
USC00310982,5838,2010
USC00310982,5809,2011
USC00310982,5146,2012
USC00310982,5986,2013
USC00310982,6112,2014
USC00310982,5901,2015
USC00310982,5263,2016
USC00310982,4903,2017
USC00310982,5597,2018
USC00310982,5233,2019
USC00310982,5178,2020
USC00310982,5448,2021
USC00311055,,2010
USC00311055,4576,2011
USC00311055,3823,2012
USC00311055,,2013
USC00311055,4702,2014
USC00311055,4421,2015
USC00311055,,2016
USC00311055,3596,2017
USC00311055,4338,2018
USC00311055,4077,2019
USC00311055,3966,2020
USC00311055,4194,2021
USC00311239,3199,2010
USC00311239,,2013
USC00311239,,2014
USC00311239,3227,2015
USC00311239,2439,2016
USC00311239,,2017
USC00311239,,2018
USC00311239,,2019
USC00311420,,2010
USC00311420,,2011
USC00311420,3435,2012
USC00311420,4472,2013
USC00311420,4735,2014
USC00311420,4461,2015
USC00311420,3846,2016
USC00311420,3535,2017
USC00311420,4361,2018
USC00311420,4099,2019
USC00311420,3988,2020
USC00311420,4285,2021
USC00311429,,2011
USC00311429,3343,2012
USC00311429,3998,2013
USC00311429,4202,2014
USC00311429,4101,2015
USC00311429,3323,2016
USC00311429,3211,2017
USC00311429,3809,2018
USC00311429,3597,2019
USC00311429,3367,2020
USC00311429,3617,2021
USC00311535,,2010
USC00311535,,2011
USC00311535,,2012
USC00311535,3712,2013
USC00311535,3867,2014
USC00311535,3866,2015
USC00311535,3020,2016
USC00311535,2911,2017
USC00311535,3597,2018
USC00311535,3348,2019
USC00311535,3146,2020
USC00311535,3427,2021
USC00311578,,2012
USC00311578,,2013
USC00311578,3551,2014
USC00311578,3423,2015
USC00311578,2790,2016
USC00311578,2546,2017
USC00311578,3269,2018
USC00311578,3181,2019
USC00311606,2692,2010
USC00311606,2801,2011
USC00311606,2114,2012
USC00311606,,2013
