weather_station,year,HTDD
STATION,HTDD,
USC00310090,3499,
USC00310090,,
USC00310090,3343,
USC00310090,3479,
USC00310090,,
USC00310090,,
USC00310090,2868,
USC00310090,,
USC00310090,,
USC00310090,2976,
USC00310090,3269,
USC00310212,,
USC00310212,3539,
USC00310212,,
USC00310212,3533,
USC00310212,,
USC00310212,,
USC00310212,2850,
USC00310212,2706,
USC00310212,,
USC00310212,,
USC00310212,2957,
USC00310212,3171,
USC00310241,3505,
USC00310241,3396,
USC00310241,,
USC00310241,,
USC00310286,3653,
USC00310286,3577,
USC00310286,2733,
USC00310286,3469,
USC00310286,,
USC00310286,3796,
USC00310286,2994,
USC00310286,2862,
USC00310286,3834,
USC00310286,,
USC00310286,3156,
USC00310286,3467,
USC00310356,2545,
USC00310356,2670,
USC00310356,2516,
USC00310356,,
USC00310356,2838,
USC00310356,2005,
USC00310356,2071,
USC00310356,2662,
USC00310356,,
USC00310356,1974,
USC00310356,2167,
USC00310375,2871,
USC00310375,2927,
USC00310375,2090,
USC00310375,,
USC00310375,,
USC00310375,,
USC00310375,,
USC00310375,,
USC00310506,6263,
USC00310506,5848,
USC00310506,,
USC00310506,,
USC00310506,6203,
USC00310506,6007,
USC00310506,5346,
USC00310506,4982,
USC00310506,5596,
USC00310506,5230,
USC00310506,5326,
USC00310506,5461,
USC00310576,2581,
USC00310576,2918,
USC00310576,2300,
USC00310576,2787,
USC00310576,,
USC00310576,2805,
USC00310576,2185,
USC00310576,2340,
USC00310576,2749,
USC00310576,2403,
USC00310576,2249,
USC00310576,2534,
USC00310645,7402,
USC00310645,7005,
USC00310645,6202,
USC00310645,7368,
USC00310645,7249,
USC00310645,7087,
USC00310645,6389,
USC00310645,5940,
USC00310645,6767,
USC00310645,6442,
USC00310645,6483,
USC00310645,6599,
USC00310724,4901,
USC00310724,4790,
USC00310724,3932,
USC00310724,4694,
USC00310724,4927,
USC00310724,,
USC00310724,,
USC00310724,3796,
USC00310724,4531,
USC00310724,,
USC00310724,4170,
USC00310724,4374,
USC00310982,5838,
USC00310982,5809,
USC00310982,5146,
USC00310982,5986,
USC00310982,6112,
USC00310982,5901,
USC00310982,5263,
USC00310982,4903,
USC00310982,5597,
USC00310982,5233,
USC00310982,5178,
USC00310982,5448,
USC00311055,,
USC00311055,4576,
USC00311055,3823,
USC00311055,,
USC00311055,4702,
USC00311055,4421,
USC00311055,,
USC00311055,3596,
USC00311055,4338,
USC00311055,4077,
USC00311055,3966,
USC00311055,4194,
USC00311239,3199,
USC00311239,,
USC00311239,,
USC00311239,3227,
USC00311239,2439,
USC00311239,,
USC00311239,,
USC00311239,,
USC00311420,,
USC00311420,,
USC00311420,3435,
USC00311420,4472,
USC00311420,4735,
USC00311420,4461,
USC00311420,3846,
USC00311420,3535,
USC00311420,4361,
USC00311420,4099,
USC00311420,3988,
USC00311420,4285,
USC00311429,,
USC00311429,3343,
USC00311429,3998,
USC00311429,4202,
USC00311429,4101,
USC00311429,3323,
USC00311429,3211,
USC00311429,3809,
USC00311429,3597,
USC00311429,3367,
USC00311429,3617,
USC00311535,,
USC00311535,,
USC00311535,,
USC00311535,3712,
USC00311535,3867,
USC00311535,3866,
USC00311535,3020,
USC00311535,2911,
USC00311535,3597,
USC00311535,3348,
USC00311535,3146,
USC00311535,3427,
USC00311578,,
USC00311578,,
USC00311578,3551,
USC00311578,3423,
USC00311578,2790,
USC00311578,2546,
USC00311578,3269,
USC00311578,3181,
USC00311606,2692,
USC00311606,2801,
USC00311606,2114,
USC00311606,,
USC00311606,,
USC00311606,1841,
USC00311606,1247,
USC00311606,1206,
USC00311606,,
USC00311606,,
USC00311606,,
USC00311606,1671,
USC00311624,,
USC00311624,,
USC00311624,,
USC00311624,,
USC00311624,,
USC00311624,,
USC00311624,,
USC00311624,4594,
USC00311677,3722,
USC00311677,3759,
USC00311677,2985,
USC00311677,3784,
USC00311677,3766,
USC00311677,3686,
USC00311677,2814,
USC00311677,2747,
USC00311677,,
USC00311677,2978,
USC00311677,3213,
USC00311700,,
USC00311700,2731,
USC00311700,,
USC00311700,,
USC00311817,,
USC00311817,,
USC00311817,,
USC00311817,,
USC00311817,,
USC00311817,2925,
USC00311817,2862,
USC00311817,2721,
USC00311820,3605,
USC00311820,3635,
USC00311820,2871,
USC00311820,3592,
USC00311820,3747,
USC00311820,,
USC00311820,2983,
USC00311820,2934,
USC00311820,3504,
USC00311820,3218,
USC00311820,2456,
USC00311820,2517,
USC00311881,3153,
USC00311881,,
USC00311881,3216,
USC00311881,3209,
USC00311881,,
USC00311881,2527,
USC00311881,3152,
USC00311881,2759,
USC00311881,2552,
USC00311881,,
USC00311949,3695,
USC00311949,2857,
USC00311949,3481,
USC00311949,3573,
USC00311949,3422,
USC00311949,2414,
USC00311949,,
USC00311949,3055,
USC00311949,2686,
USC00311949,2518,
USC00311949,2853,
USC00311975,3468,
USC00311975,3415,
USC00311975,2718,
USC00311975,3607,
USC00311975,3778,
USC00311975,3598,
USC00311975,2776,
USC00311975,2627,
USC00311975,3370,
USC00311975,3249,
USC00311975,2977,
USC00311975,3153,
USC00312238,4576,
USC00312238,4135,
USC00312238,,
USC00312238,,
USC00312238,,
USC00312238,4151,
USC00312238,3398,
USC00312238,3102,
USC00312238,3909,
USC00312238,3703,
USC00312238,3599,
USC00312238,3701,
USC00312500,3355,
USC00312500,3288,
USC00312500,2432,
USC00312500,3194,
USC00312500,3258,
USC00312500,3359,
USC00312500,2503,
USC00312500,2362,
USC00312500,3193,
USC00312500,2727,
USC00312500,2510,
USC00312500,2864,
USC00312515,3878,
USC00312515,,
USC00312515,,
USC00312515,,
USC00312560,2929,
USC00312560,,
USC00312574,,
USC00312574,3262,
USC00312574,4041,
USC00312574,,
USC00312574,,
USC00312574,,
USC00312574,,
USC00312574,,
USC00312574,,
USC00312631,,
USC00312631,,
USC00312631,3382,
USC00312631,4160,
USC00312631,4201,
USC00312631,4189,
USC00312631,3251,
USC00312631,3108,
USC00312631,4102,
USC00312631,3840,
USC00312631,3726,
USC00312631,3829,
USC00312635,3172,
USC00312635,3328,
USC00312635,2389,
USC00312635,3202,
USC00312635,3261,
USC00312635,3353,
USC00312635,2414,
USC00312635,2497,
USC00312635,3049,
USC00312635,2633,
